PublicationUId,Title,Authors,Journal,Year,UrlId,DOI,Access
34,Visits to the Emergency Room for Asthma Attacks and Short-Term Variations in Air Pollution. A Case-Crossover Study,"Boutin-Forzano S, Adel N, Gratecos L, Jullian H, Garnier JM, Ramadour M, Lanteaume A, Hamon M, Lafay V, and Charpin D",Respiration; International Review of Thoracic Diseases,2004,https://pubmed.ncbi.nlm.nih.gov/15031567/,10.1159/000076673,1
35,"Air pollution and emergency department visits for asthma among Ohio Medicaid recipients, 1991-1996","Jaffe DH, Singer ME, and Rimm AA",Environmental Research,2003,https://pubmed.ncbi.nlm.nih.gov/12550084/,10.1016/s0013-9351(02)00004-x,1
36,"Air pollution and emergency department visits for asthma in Windsor, Canada","Lavigne E, Villeneuve PJ, and Cakmak S",Canadian Journal of Public Health,2012,https://pubmed.ncbi.nlm.nih.gov/22338320/,10.1007/BF03404060,1
37,"Air pollution, weather, and respiratory emergency room visits in two northern New England cities: an ecological time-series study","Wilson AM, Wake CP, Kelly T, and Salloway JC",Environmental Research,2005,https://pubmed.ncbi.nlm.nih.gov/15589240/,10.1016/j.envres.2004.07.010,1
38,Asthma and ambient pollutants: a time series study,"Amancio CT,and Nascimento LFC",Rev Assoc Med Bras,2012,https://pubmed.ncbi.nlm.nih.gov/22735221/,NULL,1
39,Daily effects of air pollutants and pollen types on asthma and COPD hospital emergency visits in the industrial and Mediterranean Spanish city of Cartagena,"Cirera L, Garcia-Marcos L, Gimenez J, Moreno-Grau S, Tobias A, Perez-Fernandez V, Elvira-Rendeles B, Guillén JJ, and Navarro C",Allergologia et Immunopathologia,2012,https://pubmed.ncbi.nlm.nih.gov/21890258/,10.1016/j.aller.2011.05.012,1
40,"Effects of ambient air pollution on nonelderlyasthma hospital admissions in Seattle, Washington, 1987-1994","Sheppard L, Levy D, Norris G, Larson TV, and Koenig JQ",Epidemiology,1999,https://pubmed.ncbi.nlm.nih.gov/9888276/,NULL,1
41,Modifying effect of age on the association between ambient ozone and nighttime primary care visits due to asthma attack,"Yamazaki S, Shima M, Ando M,and  Nitta H",Journal of Epidemiology,2009,https://pubmed.ncbi.nlm.nih.gov/19398846/,10.2188/jea.je20081025,1
42,"Medicaid patient asthma-related acute care visits and their associations with ozone and particulates in Washington, DC, from 1994 - 2005","Babin S, Burkom H, Holtry R, Tabernero N, Davies-Cole J, Stokes L, Dehaan K, and  Lee D",International Journal of Environmental Health Research,2008,https://pubmed.ncbi.nlm.nih.gov/18569148/,10.1080/09603120701694091,1
43,"Associations between asthma emergency visits and particulate matter sources, including diesel emissions from stationary generators in Tacoma, Washington","Mar T, Koenig JQ, and  Primomo J",Inhalation Toxicology,2010,https://pubmed.ncbi.nlm.nih.gov/20384437/,10.3109/08958370903575774,1
44,"Relationship between emergency consultations for respiratory diseases and air pollution in Juarez City, Chihuahua","Hernandez-Cadena L, Téllez-Rojo MM, Sanín-Aguirre LH, Lacasaña-Navarro M, Campos A, and Romieu I",Salud Pública de México,2000,https://pubmed.ncbi.nlm.nih.gov/11026070/,NULL,1
45,"Respiratory diseases in children and outdoor air pollution in San Paulo, Brazil:a time series analysis","Fletcher T, and Gouveia N",Occupational and Environmental Medicine,2000,https://pubmed.ncbi.nlm.nih.gov/10854501/,10.1136/oem.57.7.477,1
46,"Air pollution and hospital admissions in Sydney, Australia 1990 to 1994","Morgan G, Corbett S, and Wlodarczyk J",American Journal of Public Health,1998,https://pubmed.ncbi.nlm.nih.gov/9842371/,10.2105/ajph.88.12.1761,1
47,Urban air pollution and emergency admissions for asthma in four European cities: the APHEA Project,"Sunyer J, Spix C, Quenel P, Ponce-de-Leon A, Ponka A, Barumandzadeh T, Touloumi G, Bacharova L, Wojtyniak B, Vonk J, Bisanti L, Schwartz J, and Katsouyanni K",Thorax,1997,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1758645/,10.1136/thx.52.9.760,1
48,"Effect of airborne Alternaria conidia, ozone exposure, PM10 and weather on emergency visits for asthma in school-age children in Kolkata city, India","Chakraborty P, Chakraborty A, Ghosh D, Mandal J, Biswas S, Mukhopadhyay UK, et al.",Aerobiologia,2014,https://link.springer.com/article/10.1007/s10453-013-9312-4,10.1007/s10453-013-9312-4,1
49,Increased ultrafine particles and carbon monoxide concentrations are associated with asthma exacerbation among urban children,"Evans KA, Halterman JS, Hopke PK, Fagnano M, and Rich DQ",Environmental Research,2014,https://pubmed.ncbi.nlm.nih.gov/24528997/,10.1016/j.envres.2013.12.001,1
50,"Air pollution and hospital admissions for asthma in a subtropical city: Taipei, Taiwan","Yang CY, Chen CC, Chen CY, and Kuo HW",Journal of Toxicology and Environmental Health,2007,https://pubmed.ncbi.nlm.nih.gov/17365571/,10.1080/15287390600755059,1
51,"Air Pollution and Hospital Admissions for Asthma in a Tropical City: Kaohsiung, Taiwan","Tsai SS, Cheng MH, Chiu HF, Wu TN, and Yang CY",Inhalation Toxicology,2006,https://pubmed.ncbi.nlm.nih.gov/16717026/,10.1080/08958370600686176,1
52,Air pollution and hospital admissions for respiratory and cardiovascular diseases in Hong Kong,"Wong TW, Lau TS, Yu TS, Neller A, Wong SL, Tam W, et al.",Occupational and Environmental Medicine,1999,https://pubmed.ncbi.nlm.nih.gov/10658547/,10.1136/oem.56.10.679,1
53,"Air pollution, asthma attacks,and socioeconomic deprivation: a small-area case-crossover Study","Laurent O, Pedrono G, Segala C, Filleul L, Havard S, Deguen S, et al.",American Journal of Epidemiology,2008,https://academic.oup.com/aje/article/168/1/58/123510,doi.org/10.1093/aje/kwn087,1
54,"Associations between outdoor air pollution and hospital admissions in Brisbane, Australia","Petroeschevsky A, Simpsom RW, Thalib L, and  Rutherford S",Archives of Environmental Health,2001,https://pubmed.ncbi.nlm.nih.gov/11256855/,10.1080/00039890109604053,1
55,Effect of short-term exposure to gaseous pollution on asthma hospitalization in children: a bi-directional case-crossover analysis,"Lin M, Chen Y, Burnett RT, Villeneuve PJ, and Krewski D",Journal of Epidemiology and Community Health,2003,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1732274/,10.1136/jech.57.1.50,1
56,"Gaseous air pollutants and asthma hospitalization of children with low household income in Vancouver, British Columbia, Canada","Lin M, Chen Y, Villeneuve PY, Burnett RT, Lemyre L, Hertzman C, et al.",American Journal of Epidemiology,2004,https://pubmed.ncbi.nlm.nih.gov/14742290/,10.1093/aje/kwh043,1
57,Effects of air pollution on asthma hospitalization rates in different age groups in Hong Kong,"Ko FWS, Tam W, Wong TW, Lai CKW, Wong GWK, Leung TF, et al.",Clinical & Experimental Allergy,2007,https://pubmed.ncbi.nlm.nih.gov/17845411/,10.1111/j.1365-2222.2007.02791.x,1
58,"Short term effects of air pollution on emergency hospital admissions for respiratory disease: results of the APHEA project in two major cities in The Netherlands, 1977-89","Schouten JP, Vonk JM, and Graaf AD.",Journal of Epidemiology and Community Health,1996,https://pubmed.ncbi.nlm.nih.gov/8758220/,10.1136/jech.50.suppl_1.s22,1
59,Short-term association between air pollution and emergency room visits for asthma in Barcelona,"Castellsague J, Sunyer J, Saez M, and  Anto JM",Thorax,1995,https://pubmed.ncbi.nlm.nih.gov/7491552/,10.1136/thx.50.10.1051,1
60,Age-related association of fine particles and ozone with severe acute asthma in New York City,"Silverman RA, and  Ito K",The Journal of Allergy and Clinical Immunology,2010,https://pubmed.ncbi.nlm.nih.gov/20159246/,10.1016/j.jaci.2009.10.061,1
61,Air pollution and child respiratory health: A case-crossover study in Australia and New Zealand,"Barnett AG, Williams GM, Schwartz J, Neller AH, Best TL, Petroeschevsky, et al.",American Journal of Respiratory and Critical Care Medicine,2005,https://pubmed.ncbi.nlm.nih.gov/15764722/,10.1164/rccm.200411-1586OC,1
62,Air pollution and ED visits for asthma in Australian children: a case-crossover analysis,"Jalaludin BB, Khalaj B, Sheppeard V, and Morgan G.",International Archives of Occupational and Environmental Health,2008,https://pubmed.ncbi.nlm.nih.gov/18094989/,10.1007/s00420-007-0290-0,1
63,How air pollution influences clinical management of respiratory diseases. A case-crossover study in Milan,"Santus P, Russo A, Madonini E, Allegra L, Blasi F, Centanni S, et al.",Respiratory Research,2012,https://pubmed.ncbi.nlm.nih.gov/23078274/,10.1186/1465-9921-13-95,1
64,Short-term associations between ambient air pollutants and pediatric asthma emergency department visits,"Strickland MJ, Darrow LA, Klein M, Flanders D, Sarnat JA, Waller LA, et al.",American Journal of Respiratory and Critical Care Medicine,2010,https://pubmed.ncbi.nlm.nih.gov/20378732/,10.1164/rccm.200908-1201OC,1
65,Short-Term Effects of Air Pollution on Hospital Admissions in Korea,"Son JY, Lee JT, Park YH, Bell ML.",Epidemiology,2013,https://pubmed.ncbi.nlm.nih.gov/23676269/,10.1097/EDE.0b013e3182953244,1
66,"Urban air pollution, and asthma and COPD hospital emergency room visits","Halonen JI, Lanki T, Yli-Tuomi T, Kulmala M, Tiittanen P, Pekkanen",Thorax,2008,https://pubmed.ncbi.nlm.nih.gov/18267984/,10.1136/thx.2007.091371,1
