StudyResultUId,PubUId,Result,Comments
17,22, ED visits for asthma are associated with exposure to O3. This study underlines the significant role of air pollutants as triggering asthma attacks.,NULL
18,23,"Ozone, sulphur dioxide, nitrogen dioxide, and particles were all found to have significant associations with daily hospital admissions for asthma, but there was a lack of consistency across the age groups in the specific pollutant. These associations  were  not  explained  by  confounding   by   airborne   pollens   nor   was there convincing evidence that the effects of air pollutants and airborne pollens interact in causing hospital admissions for asthma.",NULL
19,27,"Carbon monoxide and photochemical pollutants (nitrogen dioxide, ozone) appear to be determinants of acute respiratory conditions in Rome.",NULL
20,28,"A 10 ug/m(3) increase in PM(10) was associated with a 2.54% increase (95% confidence interval (CI): 0.06%, 5.08%) in the number of pediatric asthma hospital admissions, while the same increase in SO(2) was associated with a 5.98% (95% CI: 0.88%, 11.33%) increase. O(3) was associated with a statistically significant increase in asthma admissions among older children in the summer.",NULL
21,29,"The association between an increase of 10 ug/m3in ambient air pollution and asthma, measured as a relative risk (RR) of emergency visits, was significant for NO2 24 hour mean (lag 0, RR1.076, 95% confidence interval (95% CI)1.020 to 1.134), NO2 hour maximum (lag 0,RR 1.037, 95% CI 1.008 to 1.066), and O3 hour maximum (lag 1, RR 1.063, CI 95%1.014 to 1.114).",NULL
22,30,"A positive, statistically significant (p < 0.05) association was observed between ozone and asthma ED visits 2 days later, and the strength of the association was greater in nonlinear models. The frequency of asthma ED visits was 33% higher (95% CI, 10-56%) when the daily 1-hr maximum ozone concentration exceeded 75 ppb (the 95th percentile).",NULL
23,31,"Exposure to interquartile range increase of airborne particles < or = 10 microm in aerodynamic diameter, sulfur dioxide, and nitrogen dioxide in districts associated with a lower SES, the estimated percent increase of hospitalization for asthma among children was 31% (95% confidence interval [CI] = 14%-51%), 29% (95% CI = 8%-53%), and 29% (95% CI = 5%-58%), respectively",NULL
24,32,"Using Poisson regression, a single-pollutant model showed that a 10-microg x m(-3) rise in pollutant level led to relative risks of: 1.039 for PM10; 1.029 for SO2; 1.033 for NO2; and 1.045 for O3.",NULL
25,33,"During the summer, a 0.10 microg/m(3) increase in EC resulted in a 9.45% increase in asthma ED visits among 11-17-year-olds (95%CI = 1.02,1.17) at the median seasonal temperature (86.5 degrees F). During the winter, a 0.10 microg/m(3) increase in EC resulted in 2.80% increase in asthma ED visits among 11-17-year-olds (95%CI = 1.01,1.05) at the median seasonal temperature (43.3 degrees F). ",NULL
26,34," No association could be shown between ER visits and SO2 or NO2 levels. In contrast, there was a statistically significant association between ER visits and mean O3 levels, on the day of admission and also on D –2 and D –3. For an increase of 10 µg/m3, the risk of requiring an ER admission increased by 6–10%. ",NULL
27,35,"12% increased likelihood of an asthma ED visit per 50 microg/m(3) increase in PM(10) in Cleveland [95% confidence interval (CI)=0-27%] and a 35% increase per 50 microg/m(3) increase in SO(2) in Cincinnati (95% CI=9-21%). When data were analyzed for all three cities combined, the risk of an ED visit increased for all pollutant increases and specifically by 12% (95% CI=1-23%) per 50 microg/m(3) increase in SO(2).",NULL
28,36,"Statistically significant associations were observed between ambient air pollution levels and ED visits for asthma in Windsor. Effects were particularly pronounced among children 2 to 14 years of age between April and September. Namely, increases in the interquartile range with 1-day lagged exposure to SO2, NO2 and CO levels were associated with increased risks of an asthma visit of 19%, 25% and 36%, respectively.",NULL
29,37,"On a daily basis, elevated SO2 and O3 have a significant impact on public health in Portland, Maine.",NULL
30,38,The pollutants PM10 and SO2 were identified as associated with hospitalization caused by asthma in a mid-sized city,NULL
31,39,Air levels of SO(2) and NO(2) were associated with a substantial increased risk in ER visits due to asthma and COPD.adult and pediatric,NULL
32,40,"Found an estimated 4-5% increase in the rate of asthma hospital admissions associated with an interquartile range change in PM lagged 1 day; relative rates were as follows: for PM10, 1.05; for PM2.5, 1.04; and for coarse particulate mass, 1.04. In single-pollutant models we also found that a 6% increase in the rate of admission was associated with an interquartile range change in CO at a lag of 3 days and an interquartile range change in O3 at a lag of 2 days. We found PM and CO to be jointly associated with asthma admissions. We estimated the highest increase in risk in the spring and fall seasons.",NULL
33,41,An association was found between ozone and nighttime primary care visits for asthma attack in warmer months; the association was greater among preschool children.,NULL
34,42,Significant associations were found between asthma-related general acute care visits and ozone concentrations. Significant associations with both ozone and PM2.5 concentrations were observed for 5- to 12-year-olds.,NULL
35,43,An association between daily PM2.5 and emergency department (ED) visits for asthma at lag days 2 and 3 was observed,NULL
36,44,"A positive association was found between environmental PM10 and ozone concentrations and the daily number of emergency room visits due to asthma and acute respiratory diseases, even with levels lower than the Mexican standard levels. Also, a synergic effect between PM10 and O3 was found.",NULL
37,45,"Daily admissions of children to hospital for total respiratory disease and pneumonia showed significant increases associated with O(3) (5-8%), NO(2) (9%), and with PM(10) (9%) (results are for an increase from the 10th to the 90th percentile of pollution measurements).",NULL
38,46,"An increase in daily maximum 1-hour concentration of nitrogen dioxide from the 10th to the 90th percentile was associated with an increase of 5.29% (95% confidence interval = 1.07, 9.68) in childhood asthma admissions.",NULL
39,47,"Daily admissions for asthma in adults increased significantly with increasing ambient levels of nitrogen dioxide (NO2) (relative risk (RR) per 50 micrograms/m3 increase 1.029, 95% CI 1.003 to 1.055) and non-significantly with particles measured as black smoke (RR 1.021, 95% CI 0.985 to 1.059). The association between asthma admissions and ozone (O3) was heterogeneous among cities. In children, daily admissions increased significantly with sulphur dioxide (SO2) (RR 1.075, 95% CI 1.026 to 1.126) and non-significantly with black smoke (RR 1.030, 95% CI 0.979 to 1.084) and NO2, though the latter only in cold seasons (RR 1.080, 95% CI 1.025 to 1.140). No association was observed for O3. The associations between asthma admissions and NO2 in adults and SO2 in children were independent of black smoke.",NULL
40,48,"There are two peak seasons of asthma hospitalization, one in spring-early summer (end of March to mid April) and other in autumn (mid September–October). In GAM analyses, Alternaria conidia, ozone and PM10 were found to be significant both in spline and LOcal regrESSion smoothing method. Airborne Alternaria conidia, ozone and PM10 in the city of Kolkata are found to have effect on school-age children with asthma and appear responsible for severe attacks leading to hospitalization.",NULL
41,49,"These findings suggest a response to markers of traffic pollution among urban asthmatic children. Effects were strongest among children receiving preventive medications through school, suggesting that this group of children was particularly sensitive to environmental triggers. Medication adherence alone may be insufficient to protect the most vulnerable from environmental asthma triggers. However, further research is necessary to confirm this finding.",NULL
42,50,"In the single-air-pollutant model, on warm days (> or = 25 degrees C) statistically significant positive associations were found for SO2, NO2, and CO levels with an increase in asthmatic admissions. On cool days (< 25 degrees C), all air pollutants were significantly associated with elevated asthma admissions except SO2. For the two-air-pollutant model, CO significantly increases hospital admissions for asthma in combination with each of the other four pollutants on warm days. On cool days, NO2 and O3 significantly elevated asthma rates in all the two-air-pollutant models.",NULL
43,51,"In the single-pollutant models, on warm days (> or = 25 degrees C) statistically significant positive associations were found in all pollutants except sulfur dioxide (SO2). On cool days (< or = 25 degrees C) all pollutants were significantly associated with asthma admissions For the two pollutant models, CO and O3 were significant in combination with each of the other four pollutants on warm days. On cool days NO2 remained statistically significant in all the two-pollutant models.",NULL
44,52,"Significant associations were found between hospital admissions for all respiratory diseases, all cardiovascular diseases, chronic obstructive pulmonary diseases, and heart failure and the concentrations of all four pollutants. Admissions for asthma, pneumonia, and influenza were significantly associated with NO2, O3, and PM10. Relative risk (RR) for admissions for respiratory disease for the four pollutants ranged from 1.013 (for SO2) to 1.022 (for O3), and for admissions for cardiovascular disease, from 1.006 (for PM10) to 1.016 (for SO2). Those aged > or = 65 years were at higher risk. Significant positive interactions were detected between NO2, O3, and PM10, and between O3 and winter months.",NULL
45,53,"Adjusted case-crossover analyses showed that asthma calls were positively but not significantly associated with PM10 (for a 10-µg × m-3 increase, odds ratio (OR) = 1.035, 95% confidence interval (CI): 0.997, 1.075), sulfur dioxide (OR = 1.056, 95% CI: 0.979, 1.139), and nitrogen dioxide (OR = 1.025, 95% CI: 0.990, 1.062). No association was observed for ozone (OR = 0.998, 95% CI: 0.965, 1.032). Socioeconomic deprivation had no significant influence on these relations.",NULL
46,54,"Ozone was consistently associated with admissions for asthma and respiratory disease-with little evidence of a threshold. In two-pollutant models, the ozone effect was relatively unaffected by the control for high levels of other pollutants. Particulate pollution (measured by nephelometry) was associated positively with admissions for respiratory disease and admissions for asthma in summer, whereas a negative association was observed for cardiovascular admissions. Although sulfur dioxide was associated significantly with admissions for respiratory and cardiovascular disese, a significant association was also found for the control diagnosis of digestive disorders.",NULL
47,55,"A significant acute effect of carbon monoxide on asthma hospitalisation was found in boys, and sulphur dioxide showed significant effects of prolonged exposure in girls. Nitrogen dioxide was positively associated with asthma admissions in both sexes. The lag time for certain gaseous pollutant effects seemed to be shorter in boys (around two to three days for carbon monoxide and nitrogen dioxide), as compared with girls (about six to seven days for sulphur dioxide and nitrogen dioxide). The effects of gaseous pollutants on asthma hospitalisation remained after adjustment of particulate matter. The data showed no association between ozone and asthma hospitalisation in children.",NULL
48,56,"Exposures to nitrogen dioxide were found to be significantly and positively associated with asthma hospitalization for males in the low socioeconomic group but not in the high socioeconomic group. For females, this same pattern of association was observed for exposures to sulfur dioxide.",NULL
49,57,"Significant associations were found between hospital admissions for asthma and levels of NO(2), O(3), PM(10) and PM(2.5). The relative risks (RR) for hospitalization for every 10 microg/m(3) increase in NO(2), O(3), PM(10) and PM(2.5) were 1.028, 1.034, 1.019 and 1.021, respectively, at a lag day that ranged from cumulative lag 0-4 to 0-5. In a multi-pollutant model, O(3) was significantly associated with increased admissions for asthma. The younger age group (0-14 years) tended to have a higher RR for each 10 microg/m(3) increase in pollutants than those aged 15-65 years. The elderly (aged >/=65 years) had a shorter 'best' lag time to develop asthma exacerbation following exposure to pollutants than those aged <65 years.",NULL
50,58,The results show that the relation between short term air pollution and emergency hospital admissions is not always consistent at these rather low levels of daily hospital admissions and of air pollution.,NULL
51,59,"Black smoke was associated with asthma visits in summer but not in winter. The relative risk (RR) of asthma visits for a 25 micrograms/m3 increase of current day concentrations of black smoke was 1.082 (95% CI 1.011 to 1.157). The mean current and previous three day levels of black smoke led to a stronger association (RR = 1.114 (95% CI 1.010 to 1.160). In addition, nitrogen dioxide was associated with asthma visits in both summer (RR = 1.045, 95% CI 1.009 to 1.081) and winter (RR = 1.056, 95% CI 1.011 to 1.104). These associations were slightly higher for the previous day's level of nitrogen dioxide.",NULL
52,60,Warm weather patterns of ozone and PM(2.5) disproportionately affect children with asthma and appear responsible for severe attacks that could have been avoided.,NULL
53,61,"This study has shown strong and consistent associations between children's hospital admissions and outdoor air pollutants in the urban centers of Australia and New Zealand for NO2, particles, and SO2",NULL
54,62,"Associations between ambient air pollutants and ED visits for asthma in children were most consistent for all six air pollutants in the 1-4 years age-group, for particulates and CO in the 5-9 years age-group and for CO in the 10-14 years age-group. The greatest effects were most consistently observed for lag 0 and effects were greater in the warm months for particulates, O(3) and NO(2). In two pollutant models, effect sizes were generally smaller compared to those derived from single pollutant models.",NULL
55,63,"An increase in ozone (O(3)) levels at lag 3-5 was associated with a 78% increase in the number of ERAs for asthma, especially during the warm season. A significant association was found between ERAs for COPD exacerbation and levels of sulphur dioxide (SO(2)), CO, nitrate dioxide (NO(2)), and particulate matter (PM(10) and PM(2.5)). ",NULL
56,64,Both ozone and primary pollutants from traffic sources were associated with emergency department visits for asthma or wheeze; evidence for independent effects of ozone and primary pollutants from traffic sources were observed in multipollutant models. These associations tended to be of the highest magnitude for concentrations on the day of the emergency department visit and were present at relatively low ambient concentrations.,NULL
